Recipe Name,Ingredients
Delicious Potato Curry,"potato, turmeric, salt"
Homestyle Chili Fry,"chili, wheat flour, bread"
Quick Carrot Sandwich,"carrot, spinach, garlic, wheat flour, milk"
Delicious Sugar Curry,"sugar, oil, bread, chili, carrot, tomato"
Fish & Chicken Combo,"fish, chicken, butter, ginger, cream"
Homestyle Cabbage Fry,"cabbage, paneer, bread, garlic, oil, apple"
Delicious Mango Curry,"mango, carrot, cream, bread, turmeric, banana"
Tasty Mustard Rice,"mustard, mango, apple, capsicum"
Capsicum & Pepper Combo,"capsicum, pepper, beans"
Creamy Corn flour Soup,"corn flour, bread, cream"
Beans & Apple Combo,"beans, apple, cheese, wheat flour, sugar, bread"
Tomato & Paneer Combo,"tomato, paneer, milk, onion, fish, apple"
Homestyle Cream Fry,"cream, ginger, milk, chili, beans"
Stuffed Milk Paratha,"milk, noodles, sugar"
Peas & Chili Combo,"peas, chili, tomato"
Delicious Garlic Curry,"garlic, peas, spinach"
Baked Fish Delight,"fish, capsicum, potato"
Spicy Milk Masala,"milk, mango, apple, wheat flour"
Creamy Potato Soup,"potato, cream, oil"
Baked Sugar Delight,"sugar, beans, ginger, cabbage, tomato"
Baked Salt Delight,"salt, tomato, beans, milk, corn flour, butter"
Delicious Carrot Curry,"carrot, fish, milk"
Tasty Cheese Rice,"cheese, salt, paneer, ginger, onion"
Delicious Oil Curry,"oil, pepper, garlic"
Milk & Fish Combo,"milk, fish, paneer, oil"
Creamy Tomato Soup,"tomato, banana, spinach, cream"
Tasty Tomato Rice,"tomato, garlic, spices, onion"
Spicy Rice Masala,"rice, turmeric, water, garlic"
Quick Sugar Sandwich,"sugar, spinach, milk, bread, yogurt, chili"
Tasty Pepper Rice,"pepper, chili, milk"
Carrot & Paneer Combo,"carrot, paneer, peas"
Delicious Butter Curry,"butter, apple, cream, spices, spinach, bread"
Homestyle Fish Fry,"fish, turmeric, ginger, pepper"
Savory Spices Rolls,"spices, cheese, cream, yogurt"
Savory Capsicum Rolls,"capsicum, mustard, oil"
Baked Turmeric Delight,"turmeric, beans, mango, yogurt"
Beans & Chili Combo,"beans, chili, water"
Stuffed Salt Paratha,"salt, paneer, garlic, peas, cream, cumin"
Baked Onion Delight,"onion, capsicum, mustard"
Delicious Water Curry,"water, carrot, yogurt, salt, tomato, corn flour"
Delicious Wheat flour Curry,"wheat flour, cream, beans"
Quick Fish Sandwich,"fish, chicken, apple, peas, chili, sugar"
Quick Chicken Sandwich,"chicken, corn flour, mustard, cheese"
Tasty Eggs Rice,"eggs, capsicum, spinach, mango"
Sugar & Corn flour Combo,"sugar, corn flour, cream, butter, mustard, water"
Spicy Tomato Masala,"tomato, ginger, rice, cabbage, cream"
Delicious Mango Curry,"mango, cream, turmeric"
Quick Mustard Sandwich,"mustard, tomato, beans, cabbage"
Spicy Spices Masala,"spices, oil, rice, tomato, garlic, maggi noodles"
Stuffed Potato Paratha,"potato, chicken, cheese, mango, onion, mustard"
Wheat flour & Tomato Combo,"wheat flour, tomato, cabbage, oil, water"
Mustard & Peas Combo,"mustard, peas, cabbage, carrot, beans, noodles"
Baked Milk Delight,"milk, eggs, water"
Sugar & Salt Combo,"sugar, salt, ginger, cheese, mango"
Homestyle Eggs Fry,"eggs, turmeric, banana"
Quick Chicken Sandwich,"chicken, water, peas"
Creamy Oil Soup,"oil, cream, corn flour, rice, onion"
Spicy Spices Masala,"spices, capsicum, spinach"
Baked Garlic Delight,"garlic, cream, pepper"
Delicious Potato Curry,"potato, salt, onion"
Delicious Yogurt Curry,"yogurt, chicken, rice, spices, cheese"
Savory Apple Rolls,"apple, chili, onion"
Savory Cheese Rolls,"cheese, peas, noodles, onion, maggi noodles, oil"
Delicious Spices Curry,"spices, chili, oil, yogurt, spinach, wheat flour"
Pepper & Mustard Combo,"pepper, mustard, paneer, cumin"
Quick Maggi noodles Sandwich,"maggi noodles, apple, fish"
Beans & Water Combo,"beans, water, oil, chili, apple"
Delicious Mango Curry,"mango, paneer, sugar, milk, yogurt, banana"
Maggi noodles & Capsicum Combo,"maggi noodles, capsicum, mango"
Delicious Noodles Curry,"noodles, butter, yogurt, potato"
Butter & Noodles Combo,"butter, noodles, mango, cream"
Savory Eggs Rolls,"eggs, banana, apple, milk, potato"
Homestyle Garlic Fry,"garlic, pepper, capsicum, carrot, mustard, water"
Baked Wheat flour Delight,"wheat flour, spinach, capsicum, ginger, sugar, salt"
Homestyle Sugar Fry,"sugar, bread, turmeric, cumin, capsicum, tomato"
Baked Oil Delight,"oil, butter, capsicum"
Turmeric & Milk Combo,"turmeric, milk, potato, butter, rice, cabbage"
Spicy Bread Masala,"bread, garlic, oil, rice"
Quick Rice Sandwich,"rice, capsicum, cumin, carrot, bread"
Pepper & Ginger Combo,"pepper, ginger, beans, paneer, mango"
Baked Ginger Delight,"ginger, carrot, pepper"
Savory Capsicum Rolls,"capsicum, milk, bread, cheese, spices, turmeric"
Homestyle Onion Fry,"onion, spinach, cream, salt, pepper, peas"
Savory Noodles Rolls,"noodles, cumin, mustard, apple"
Tasty Salt Rice,"salt, sugar, yogurt, bread, chicken"
Homestyle Water Fry,"water, cream, butter, rice, spices, chili"
Stuffed Banana Paratha,"banana, garlic, mustard, pepper"
Savory Apple Rolls,"apple, paneer, chicken"
Butter & Turmeric Combo,"butter, turmeric, beans"
Homestyle Tomato Fry,"tomato, cabbage, banana, turmeric, chili"
Delicious Tomato Curry,"tomato, potato, rice"
Creamy Cabbage Soup,"cabbage, butter, noodles"
Garlic & Noodles Combo,"garlic, noodles, peas, salt, yogurt, bread"
Homestyle Cabbage Fry,"cabbage, cheese, cumin"
Baked Mustard Delight,"mustard, spices, carrot, salt, apple, tomato"
Spicy Ginger Masala,"ginger, rice, cheese, cumin, tomato, spinach"
Stuffed Beans Paratha,"beans, bread, rice, chicken, capsicum, spinach"
Stuffed Capsicum Paratha,"capsicum, ginger, corn flour, yogurt, cream, cheese"
Delicious Carrot Curry,"carrot, apple, peas, fish, rice, sugar"
Quick Bread Sandwich,"bread, wheat flour, paneer, peas, carrot"
Creamy Mustard Soup,"mustard, butter, sugar, maggi noodles, mango, onion"
Homestyle Chili Fry,"chili, pepper, eggs, cabbage"
Cream & Wheat flour Combo,"cream, wheat flour, turmeric, mustard, mango"
Baked Mango Delight,"mango, potato, fish"
Tasty Oil Rice,"oil, eggs, cream, tomato, spices, milk"
Baked Butter Delight,"butter, wheat flour, chili, chicken"
Homestyle Noodles Fry,"noodles, mango, butter"
Tasty Cheese Rice,"cheese, yogurt, ginger"
Creamy Noodles Soup,"noodles, water, banana"
Tasty Cumin Rice,"cumin, maggi noodles, tomato, rice, water, chili"
Baked Carrot Delight,"carrot, chili, maggi noodles, cheese"
Stuffed Maggi noodles Paratha,"maggi noodles, corn flour, peas, sugar, mustard"
Creamy Capsicum Soup,"capsicum, oil, yogurt, bread"
Paneer & Bread Combo,"paneer, bread, beans, pepper, water, cream"
Tasty Tomato Rice,"tomato, ginger, paneer, oil, noodles"
Baked Chili Delight,"chili, spinach, corn flour, mango, mustard"
Baked Corn flour Delight,"corn flour, banana, onion"
Stuffed Spices Paratha,"spices, cumin, corn flour, cream"
Homestyle Mango Fry,"mango, cream, salt, corn flour, yogurt"
Quick Water Sandwich,"water, corn flour, spices, pepper, butter, onion"
Spicy Mustard Masala,"mustard, garlic, beans, cheese, mango"
Cheese & Capsicum Combo,"cheese, capsicum, sugar, bread"
Quick Noodles Sandwich,"noodles, potato, beans, capsicum, spinach"
Homestyle Cabbage Fry,"cabbage, peas, rice, onion, chicken, chili"
Onion & Milk Combo,"onion, milk, cabbage"
Spicy Cheese Masala,"cheese, spinach, bread, corn flour, cumin, spices"
Spicy Cheese Masala,"cheese, water, yogurt, banana"
Quick Wheat flour Sandwich,"wheat flour, mustard, cumin, milk, sugar"
Butter & Spinach Combo,"butter, spinach, mustard, carrot, sugar, chicken"
Homestyle Cream Fry,"cream, salt, garlic, cheese, turmeric"
Spicy Sugar Masala,"sugar, cheese, spinach, mustard"
Fish & Butter Combo,"fish, butter, milk, corn flour, chicken"
Cream & Sugar Combo,"cream, sugar, capsicum, water"
Peas & Wheat flour Combo,"peas, wheat flour, garlic, spices, oil"
Quick Water Sandwich,"water, maggi noodles, wheat flour"
Creamy Tomato Soup,"tomato, paneer, rice, wheat flour, cheese"
Savory Butter Rolls,"butter, cabbage, garlic, fish, ginger, peas"
Quick Beans Sandwich,"beans, mango, wheat flour, cabbage, eggs"
Savory Beans Rolls,"beans, bread, banana"
Stuffed Turmeric Paratha,"turmeric, apple, cabbage, paneer"
Savory Onion Rolls,"onion, rice, bread, milk"
Savory Tomato Rolls,"tomato, eggs, peas"
Delicious Pepper Curry,"pepper, chicken, wheat flour, paneer, noodles"
Quick Cabbage Sandwich,"cabbage, salt, water, cream, butter, turmeric"
Homestyle Sugar Fry,"sugar, spinach, pepper, spices, bread, wheat flour"
Apple & Spices Combo,"apple, spices, onion, oil"
Spicy Chicken Masala,"chicken, water, ginger, paneer"
Quick Salt Sandwich,"salt, sugar, tomato, pepper"
Quick Cheese Sandwich,"cheese, fish, apple, milk, cream, cumin"
Stuffed Banana Paratha,"banana, spinach, yogurt, peas"
Baked Cumin Delight,"cumin, paneer, onion, cheese"
Spinach & Spices Combo,"spinach, spices, apple"
Savory Cabbage Rolls,"cabbage, spinach, eggs, onion, potato, wheat flour"
Apple & Corn flour Combo,"apple, corn flour, paneer, garlic"
Baked Bread Delight,"bread, mango, fish, water, rice, chili"
Delicious Carrot Curry,"carrot, milk, tomato"
Baked Eggs Delight,"eggs, tomato, salt, peas, capsicum, yogurt"
Chicken & Garlic Combo,"chicken, garlic, oil"
Baked Beans Delight,"beans, wheat flour, corn flour, rice, noodles"
Stuffed Fish Paratha,"fish, onion, spices"
Savory Sugar Rolls,"sugar, cabbage, turmeric, onion, water"
Tasty Chili Rice,"chili, sugar, water, noodles, eggs"
Creamy Beans Soup,"beans, pepper, rice"
Creamy Sugar Soup,"sugar, water, cream"
Baked Eggs Delight,"eggs, maggi noodles, bread, capsicum, apple"
Chicken & Pepper Combo,"chicken, pepper, water"
Homestyle Fish Fry,"fish, oil, apple"
Tasty Onion Rice,"onion, apple, capsicum"
Delicious Onion Curry,"onion, cream, peas"
Baked Capsicum Delight,"capsicum, mustard, butter, pepper, spices"
Baked Salt Delight,"salt, cumin, corn flour, chicken, spices, cream"
Spicy Cheese Masala,"cheese, mango, noodles, beans"
Baked Mustard Delight,"mustard, butter, water, paneer, maggi noodles"
Savory Spinach Rolls,"spinach, noodles, ginger, cream, spices"
Cabbage & Corn flour Combo,"cabbage, corn flour, mustard, yogurt, chicken"
Savory Mango Rolls,"mango, peas, chicken, paneer, cream, milk"
Cabbage & Eggs Combo,"cabbage, eggs, cumin, garlic, bread"
Creamy Capsicum Soup,"capsicum, rice, paneer"
Stuffed Chili Paratha,"chili, onion, banana"
Stuffed Maggi noodles Paratha,"maggi noodles, noodles, peas, garlic, ginger"
Creamy Spices Soup,"spices, turmeric, eggs"
Pepper & Spices Combo,"pepper, spices, cabbage, sugar"
Delicious Corn flour Curry,"corn flour, turmeric, bread, pepper"
Homestyle Water Fry,"water, pepper, corn flour, yogurt, eggs, spices"
Savory Chicken Rolls,"chicken, wheat flour, tomato, spices"
Mango & Wheat flour Combo,"mango, wheat flour, ginger, capsicum"
Tasty Beans Rice,"beans, noodles, cabbage, maggi noodles, sugar, capsicum"
Homestyle Corn flour Fry,"corn flour, yogurt, maggi noodles, tomato, eggs"
Savory Cheese Rolls,"cheese, rice, ginger, chili"
Stuffed Milk Paratha,"milk, ginger, potato"
